年份,获奖国家,国家代码,Gold,Silver,Bronze
1924,United States,USA,1,2,1
1924,Great Britain,GBR,1,1,2
1924,Austria,AUT,2,1,0
1924,Norway,NOR,4,7,6
1924,Finland,FIN,4,4,3
1924,France,FRA,0,0,3
1924,Belgium,BEL,0,0,1
1924,Switzerland,SUI,2,0,1
1924,Canada,CAN,1,0,0
1924,Sweden,SWE,1,1,0
1928,Sweden,SWE,2,2,1
1928,Finland,FIN,2,1,1
1928,Canada,CAN,1,0,0
1928,Czechoslovakia,TCH,0,0,1
1928,Norway,NOR,6,4,5
1928,United States,USA,2,2,2
1928,Great Britain,GBR,0,0,1
1928,Switzerland,SUI,0,0,1
1928,Belgium,BEL,0,0,1
1928,France,FRA,1,0,0
1928,Austria,AUT,0,3,1
1928,Germany,GER,0,0,1
1932,Sweden,SWE,1,2,0
1932,Canada,CAN,1,1,5
1932,United States,USA,6,4,2
1932,Norway,NOR,3,4,3
1932,Finland,FIN,1,1,1
1932,Germany,GER,0,0,2
1932,Hungary,HUN,0,0,1
1932,Switzerland,SUI,0,1,0
1932,Austria,AUT,1,1,0
1932,France,FRA,1,0,0
1936,Finland,FIN,1,2,3
1936,Switzerland,SUI,1,2,0
1936,Sweden,SWE,2,2,3
1936,Norway,NOR,7,5,3
1936,Germany,GER,3,3,0
1936,Canada,CAN,0,1,0
1936,France,FRA,0,0,1
1936,Hungary,HUN,0,0,1
1936,Austria,AUT,1,1,2
1936,Great Britain,GBR,1,1,1
1936,United States,USA,1,0,3
1948,France,FRA,2,1,2
1948,Canada,CAN,2,0,1
1948,Sweden,SWE,4,3,3
1948,Switzerland,SUI,3,4,3
1948,United States,USA,3,4,2
1948,Austria,AUT,1,3,4
1948,Hungary,HUN,0,1,0
1948,Great Britain,GBR,0,0,2
1948,Czechoslovakia,TCH,0,1,0
1948,Finland,FIN,1,3,2
1948,Italy,ITA,1,0,0
1948,Norway,NOR,4,3,3
1948,Belgium,BEL,1,1,0
1952,Germany,GER,3,2,2
1952,Austria,AUT,2,4,2
1952,Italy,ITA,1,0,1
1952,Norway,NOR,7,3,6
1952,United States,USA,4,6,1
1952,Finland,FIN,3,4,2
1952,Canada,CAN,1,0,1
1952,Switzerland,SUI,0,0,2
1952,France,FRA,0,0,1
1952,Hungary,HUN,0,0,1
1952,Great Britain,GBR,1,0,0
1952,Netherlands,NED,0,3,0
1952,Sweden,SWE,0,0,4
1956,Switzerland,SUI,3,2,1
1956,Sweden,SWE,2,4,4
1956,United States,USA,2,3,2
1956,Soviet Union,URS,7,3,6
1956,Austria,AUT,4,3,4
1956,Finland,FIN,3,3,1
1956,Japan,JPN,0,1,0
1956,Hungary,HUN,0,0,1
1956,Poland,POL,0,0,1
1956,Canada,CAN,0,1,2
1956,Norway,NOR,2,1,1
1956,Italy,ITA,1,2,0
1956,United Team of Germany,EUA,1,0,1
1960,Finland,FIN,2,3,3
1960,Norway,NOR,3,3,0
1960,Sweden,SWE,3,2,2
1960,Soviet Union,URS,6,5,9
1960,France,FRA,1,0,2
1960,United States,USA,3,4,3
1960,United Team of Germany,EUA,4,3,1
1960,Poland,POL,0,1,1
1960,Czechoslovakia,TCH,0,1,0
1960,Italy,ITA,0,0,1
1960,Netherlands,NED,0,1,1
1960,Canada,CAN,2,1,1
1960,Switzerland,SUI,2,0,0
1960,Austria,AUT,1,2,3
1964,United Team of Germany,EUA,3,3,3
1964,Sweden,SWE,3,3,1
1964,United States,USA,1,2,4
1964,France,FRA,3,4,0
1964,Austria,AUT,4,5,3
1964,Norway,NOR,3,6,6
1964,Finland,FIN,3,4,3
1964,North Korea,PRK,0,1,0
1964,Czechoslovakia,TCH,0,0,1
1964,Soviet Union,URS,11,8,6
1964,Italy,ITA,0,1,3
1964,Canada,CAN,1,1,1
1964,Netherlands,NED,1,1,0
1964,Great Britain,GBR,1,0,0
1968,Italy,ITA,4,0,0
1968,Austria,AUT,3,4,4
1968,Netherlands,NED,3,3,3
1968,France,FRA,4,3,2
1968,Romania,ROU,0,0,1
1968,Norway,NOR,6,6,2
1968,Soviet Union,URS,5,5,3
1968,Sweden,SWE,3,2,3
1968,Czechoslovakia,TCH,1,2,1
1968,Canada,CAN,1,1,1
1968,Switzerland,SUI,0,2,4
1968,Finland,FIN,1,2,2
1968,West Germany,FRG,2,2,3
1968,United States,USA,1,5,1
1968,East Germany,GDR,1,2,2
1972,Norway,NOR,2,5,5
1972,United States,USA,3,2,3
1972,Austria,AUT,1,2,2
1972,Italy,ITA,2,2,1
1972,East Germany,GDR,4,3,7
1972,Soviet Union,URS,8,5,3
1972,Netherlands,NED,4,3,2
1972,Switzerland,SUI,4,3,3
1972,Sweden,SWE,1,1,2
1972,France,FRA,0,1,2
1972,Finland,FIN,0,4,1
1972,West Germany,FRG,3,1,1
1972,Canada,CAN,0,1,0
1972,Spain,ESP,1,0,0
1972,Czechoslovakia,TCH,1,0,2
1972,Poland,POL,1,0,0
1972,Japan,JPN,1,1,1
1976,Austria,AUT,2,2,2
1976,Finland,FIN,2,4,1
1976,Netherlands,NED,1,2,3
1976,Switzerland,SUI,1,3,1
1976,East Germany,GDR,7,5,7
1976,Soviet Union,URS,13,6,8
1976,Norway,NOR,3,3,1
1976,United States,USA,3,3,4
1976,Sweden,SWE,0,0,2
1976,Liechtenstein,LIE,0,0,2
1976,West Germany,FRG,2,5,3
1976,France,FRA,0,0,1
1976,Great Britain,GBR,1,0,0
1976,Canada,CAN,1,1,1
1976,Italy,ITA,1,2,1
1976,Czechoslovakia,TCH,0,1,0
1980,Finland,FIN,1,5,3
1980,Liechtenstein,LIE,2,2,0
1980,Norway,NOR,1,3,6
1980,Switzerland,SUI,1,1,3
1980,Netherlands,NED,1,2,1
1980,East Germany,GDR,9,7,7
1980,Soviet Union,URS,10,6,6
1980,United States,USA,6,4,2
1980,Sweden,SWE,3,0,1
1980,Austria,AUT,3,2,2
1980,Bulgaria,BUL,0,0,1
1980,Japan,JPN,0,1,0
1980,Czechoslovakia,TCH,0,0,1
1980,Hungary,HUN,0,1,0
1980,France,FRA,0,0,1
1980,Italy,ITA,0,2,0
1980,Great Britain,GBR,1,0,0
1980,West Germany,FRG,0,2,3
1980,Canada,CAN,0,1,1
1984,Switzerland,SUI,2,2,1
1984,Sweden,SWE,4,2,2
1984,West Germany,FRG,2,1,1
1984,Canada,CAN,2,1,1
1984,Soviet Union,URS,6,10,9
1984,East Germany,GDR,9,9,6
1984,Finland,FIN,4,3,6
1984,United States,USA,4,4,0
1984,Italy,ITA,2,0,0
1984,Liechtenstein,LIE,0,0,2
1984,Yugoslavia,YUG,0,1,0
1984,Norway,NOR,3,2,4
1984,Austria,AUT,0,0,1
1984,Japan,JPN,0,1,0
1984,Czechoslovakia,TCH,0,2,4
1984,France,FRA,0,1,2
1984,Great Britain,GBR,1,0,0
1988,Netherlands,NED,3,2,2
1988,Austria,AUT,3,5,2
1988,United States,USA,2,1,3
1988,West Germany,FRG,2,4,2
1988,Sweden,SWE,4,0,2
1988,Soviet Union,URS,11,9,9
1988,East Germany,GDR,9,10,6
1988,Finland,FIN,4,1,2
1988,Switzerland,SUI,5,5,5
1988,Japan,JPN,0,0,1
1988,Yugoslavia,YUG,0,2,1
1988,Liechtenstein,LIE,0,0,1
1988,Czechoslovakia,TCH,0,1,2
1988,Italy,ITA,2,1,2
1988,France,FRA,1,0,1
1988,Norway,NOR,0,3,2
1988,Canada,CAN,0,2,3
1992,Italy,ITA,4,6,4
1992,France,FRA,3,5,1
1992,South Korea,KOR,2,1,1
1992,Canada,CAN,2,3,2
1992,Finland,FIN,3,1,3
1992,Unified Team,EUN,9,6,8
1992,Germany,GER,10,10,6
1992,Norway,NOR,9,6,5
1992,United States,USA,5,4,2
1992,Austria,AUT,6,7,8
1992,New Zealand,NZL,0,1,0
1992,Luxembourg,LUX,0,2,0
1992,Czechoslovakia,TCH,0,0,3
1992,Spain,ESP,0,0,1
1992,North Korea,PRK,0,0,1
1992,Netherlands,NED,1,1,2
1992,Japan,JPN,1,2,4
1992,Sweden,SWE,1,0,3
1992,China,CHN,0,3,0
1992,Switzerland,SUI,1,0,2
1994,China,CHN,0,1,2
1994,Canada,CAN,3,6,4
1994,South Korea,KOR,4,1,1
1994,Switzerland,SUI,3,4,2
1994,Sweden,SWE,2,1,0
1994,Austria,AUT,2,3,4
1994,Norway,NOR,10,11,5
1994,Russia,RUS,11,8,4
1994,Germany,GER,9,7,8
1994,United States,USA,6,5,2
1994,Italy,ITA,7,5,8
1994,Japan,JPN,1,2,2
1994,Netherlands,NED,0,1,3
1994,France,FRA,0,1,4
1994,Slovenia,SLO,0,0,3
1994,Australia,AUS,0,0,1
1994,Great Britain,GBR,0,0,2
1994,Ukraine,UKR,1,0,1
1994,Kazakhstan,KAZ,1,2,0
1994,Uzbekistan,UZB,1,0,0
1994,Finland,FIN,0,1,5
1994,Belarus,BLR,0,2,0
1998,Ukraine,UKR,0,1,0
1998,South Korea,KOR,3,1,2
1998,Austria,AUT,3,5,9
1998,Japan,JPN,5,1,4
1998,Switzerland,SUI,2,2,3
1998,Finland,FIN,2,4,6
1998,Italy,ITA,2,6,2
1998,Russia,RUS,9,6,3
1998,Norway,NOR,10,10,5
1998,Germany,GER,12,9,8
1998,Netherlands,NED,5,4,2
1998,United States,USA,6,3,4
1998,Canada,CAN,6,5,4
1998,Belgium,BEL,0,0,1
1998,Australia,AUS,0,0,1
1998,China,CHN,0,6,2
1998,Great Britain,GBR,0,0,1
1998,Denmark,DEN,0,1,0
1998,Sweden,SWE,0,2,1
1998,Kazakhstan,KAZ,0,0,2
1998,Belarus,BLR,0,0,2
1998,Czech Republic,CZE,1,1,1
1998,France,FRA,2,1,5
1998,Bulgaria,BUL,1,0,0
2002,Belarus,BLR,0,0,1
2002,Slovenia,SLO,0,0,1
2002,Poland,POL,0,1,1
2002,Bulgaria,BUL,0,1,2
2002,Japan,JPN,0,1,1
2002,Norway,NOR,13,5,7
2002,Australia,AUS,2,0,0
2002,Germany,GER,12,16,8
2002,Canada,CAN,7,3,7
2002,United States,USA,10,13,11
2002,Sweden,SWE,0,2,5
2002,Netherlands,NED,3,5,0
2002,Austria,AUT,3,4,10
2002,Switzerland,SUI,3,2,6
2002,France,FRA,4,5,2
2002,Italy,ITA,4,4,5
2002,Finland,FIN,4,2,1
2002,Croatia,CRO,3,1,0
2002,Czech Republic,CZE,1,2,0
2002,Estonia,EST,1,1,1
2002,Great Britain,GBR,1,0,1
2002,China,CHN,2,2,4
2002,South Korea,KOR,2,2,0
2002,Russia,RUS,5,4,4
2006,Netherlands,NED,3,2,4
2006,France,FRA,3,2,4
2006,Italy,ITA,5,0,6
2006,China,CHN,2,4,5
2006,Norway,NOR,2,8,9
2006,Estonia,EST,3,0,0
2006,Switzerland,SUI,5,4,5
2006,Russia,RUS,8,6,8
2006,Austria,AUT,9,7,7
2006,Germany,GER,11,12,6
2006,South Korea,KOR,6,3,2
2006,Sweden,SWE,7,2,5
2006,Canada,CAN,7,10,7
2006,Slovakia,SVK,0,1,0
2006,Great Britain,GBR,0,1,0
2006,Bulgaria,BUL,0,1,0
2006,United States,USA,9,9,7
2006,Latvia,LAT,0,0,1
2006,Ukraine,UKR,0,0,2
2006,Belarus,BLR,0,1,0
2006,Australia,AUS,1,0,1
2006,Croatia,CRO,1,2,0
2006,Czech Republic,CZE,1,2,1
2006,Poland,POL,0,1,1
2006,Finland,FIN,0,6,3
2006,Japan,JPN,1,0,0
2010,Poland,POL,1,3,2
2010,Austria,AUT,4,6,6
2010,Sweden,SWE,5,2,4
2010,China,CHN,5,2,4
2010,France,FRA,2,3,6
2010,Russia,RUS,3,5,7
2010,Netherlands,NED,4,1,3
2010,United States,USA,9,15,13
2010,Germany,GER,10,13,7
2010,Canada,CAN,14,7,5
2010,Switzerland,SUI,6,0,3
2010,South Korea,KOR,6,6,2
2010,Norway,NOR,9,8,6
2010,Australia,AUS,2,1,0
2010,Finland,FIN,0,1,4
2010,Latvia,LAT,0,2,0
2010,Slovenia,SLO,0,2,1
2010,Italy,ITA,1,1,3
2010,Kazakhstan,KAZ,0,1,0
2010,Estonia,EST,0,1,0
2010,Slovakia,SVK,1,1,1
2010,Belarus,BLR,1,1,1
2010,Czech Republic,CZE,2,0,4
2010,Croatia,CRO,0,2,1
2010,Japan,JPN,0,3,2
2010,Great Britain,GBR,1,0,0
2014,Canada,CAN,10,10,5
2014,Latvia,LAT,1,1,3
2014,Ukraine,UKR,1,0,1
2014,Slovakia,SVK,1,0,0
2014,Japan,JPN,1,4,3
2014,Finland,FIN,1,3,1
2014,Great Britain,GBR,1,1,3
2014,Kazakhstan,KAZ,0,0,1
2014,Norway,NOR,11,5,10
2014,Russia,RUS,11,10,9
2014,Italy,ITA,0,2,6
2014,Australia,AUS,0,2,1
2014,Croatia,CRO,0,1,0
2014,Czech Republic,CZE,2,4,2
2014,Switzerland,SUI,7,2,2
2014,Belarus,BLR,5,0,1
2014,Slovenia,SLO,2,2,4
2014,United States,USA,9,9,10
2014,Netherlands,NED,8,7,9
2014,Germany,GER,8,6,5
2014,South Korea,KOR,3,3,2
2014,Sweden,SWE,2,7,6
2014,Austria,AUT,4,8,5
2014,France,FRA,4,4,7
2014,Poland,POL,4,1,1
2014,China,CHN,3,4,2
2018,Liechtenstein,LIE,0,0,1
2018,United States,USA,9,8,6
2018,Latvia,LAT,0,0,1
2018,Japan,JPN,4,5,4
2018,Austria,AUT,5,3,6
2018,France,FRA,5,4,6
2018,Czech Republic,CZE,2,2,3
2018,Olympic Athletes from Russia,OAR,2,6,9
2018,Italy,ITA,3,2,5
2018,Switzerland,SUI,5,6,4
2018,Germany,GER,14,10,7
2018,Canada,CAN,11,8,10
2018,Netherlands,NED,8,6,6
2018,South Korea,KOR,5,8,4
2018,Sweden,SWE,7,6,1
2018,Norway,NOR,14,14,11
2018,Belarus,BLR,2,1,0
2018,Belgium,BEL,0,1,0
2018,Slovenia,SLO,0,1,1
2018,Australia,AUS,0,2,1
2018,Kazakhstan,KAZ,0,0,1
2018,Spain,ESP,0,0,2
2018,New Zealand,NZL,0,0,2
2018,Ukraine,UKR,1,0,0
2018,Finland,FIN,1,1,4
2018,Slovakia,SVK,1,2,0
2018,China,CHN,1,6,2
2018,Hungary,HUN,1,0,0
2018,Poland,POL,1,0,1
2018,Great Britain,GBR,1,0,4
